alias,checkpoint,write_objective,step,direction,component,mean,reconstruction_token_accuracy,token_count,gradient_norm_mean,example_count,token_accuracy,exact_match
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,1,F,reconstruction_key,14.129935849683754,0.0,2112,93.52936172485352,132,0.9545454545454546,0.9090909090909091
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,1,F,reconstruction_value,6.147932280352025,0.04876893939393939,2112,93.52936172485352,132,0.9545454545454546,0.9090909090909091
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,2,B,energy_key,2673.7687247744816,0.0005040322580645161,1984,40.43249104099889,124,1.0,1.0
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,2,B,energy_value,3254.287838855777,0.028729838709677418,1984,40.43249104099889,124,1.0,1.0
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,2,B,reconstruction_key,7.567871615350727,0.0005040322580645161,1984,40.43249104099889,124,1.0,1.0
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,2,B,reconstruction_value,10.792265796641736,0.028729838709677418,1984,40.43249104099889,124,1.0,1.0
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,2,F,energy_key,4681.505469415853,0.0,2112,42.77840744365346,132,0.9545454545454546,0.9090909090909091
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,2,F,energy_value,6239.6183918594825,0.1553030303030303,2112,42.77840744365346,132,0.9545454545454546,0.9090909090909091
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,2,F,reconstruction_key,13.520465235649185,0.0,2112,42.77840744365346,132,0.9545454545454546,0.9090909090909091
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,2,F,reconstruction_value,5.163944564511196,0.1553030303030303,2112,42.77840744365346,132,0.9545454545454546,0.9090909090909091
